,UMAP1,UMAP2,kmeans2,species,sex,kmeans3
142,12.378641,1.8801397,0,Adelie,Female,2
143,11.305033,3.197068,0,Adelie,Male,2
144,13.034984,1.0463005,0,Adelie,Female,2
145,10.520743,7.060846,0,Adelie,Male,0
146,9.404985,6.439898,0,Chinstrap,Female,0
147,6.4415655,7.003606,0,Chinstrap,Male,0
148,6.5253377,6.9630294,0,Chinstrap,Male,0
149,8.660819,5.4616404,0,Chinstrap,Female,0
150,6.04373,7.271537,0,Chinstrap,Male,0
151,9.820534,7.486664,0,Chinstrap,Female,0
152,8.162106,3.6147926,0,Chinstrap,Female,0
153,7.1560817,8.009035,0,Chinstrap,Male,0
154,8.07584,7.449543,0,Chinstrap,Female,0
155,6.1848536,7.019559,0,Chinstrap,Male,0
156,9.349528,7.042368,0,Chinstrap,Female,0
157,6.2684417,6.921166,0,Chinstrap,Male,0
158,10.095326,6.4410434,0,Chinstrap,Female,0
159,6.283168,8.357761,0,Chinstrap,Male,0
160,10.642416,6.6284895,0,Chinstrap,Female,0
161,5.834567,7.776336,0,Chinstrap,Male,0
162,6.6606693,6.553038,0,Chinstrap,Male,0
163,5.8840747,7.641034,0,Chinstrap,Female,0
164,8.5725765,5.834784,0,Chinstrap,Female,0
165,7.1746287,8.14359,0,Chinstrap,Male,0
166,10.717157,3.22657,0,Chinstrap,Female,2
167,9.117233,6.806746,0,Chinstrap,Male,0
168,11.460112,2.8610008,0,Chinstrap,Female,2
169,6.5918546,6.842524,0,Chinstrap,Male,0
170,9.383033,6.466744,0,Chinstrap,Female,0
171,5.9538536,7.962282,0,Chinstrap,Male,0
172,7.4978905,7.690512,0,Chinstrap,Female,0
173,7.0751305,7.6155453,0,Chinstrap,Male,0
174,9.274761,6.700562,0,Chinstrap,Female,0
175,5.40899,8.313847,0,Chinstrap,Male,0
176,12.266576,2.3325646,0,Chinstrap,Female,2
177,5.362092,8.193127,0,Chinstrap,Male,0
178,11.716416,3.3850899,0,Chinstrap,Female,2
179,6.3424473,8.187657,0,Chinstrap,Male,0
180,7.547852,7.395964,0,Chinstrap,Male,0
181,9.904629,7.7540255,0,Chinstrap,Female,0
182,8.242114,7.5846515,0,Chinstrap,Female,0
183,5.3368235,8.243828,0,Chinstrap,Male,0
184,10.8450165,5.104911,0,Chinstrap,Female,0
185,5.515388,8.352135,0,Chinstrap,Male,0
186,6.144327,8.041425,0,Chinstrap,Male,0
187,10.187708,6.33753,0,Chinstrap,Female,0
188,6.6819353,6.934548,0,Chinstrap,Male,0
189,10.678587,7.2856045,0,Chinstrap,Female,0
190,7.5590243,7.859667,0,Chinstrap,Female,0
191,6.130993,8.381083,0,Chinstrap,Male,0
192,8.231766,7.1707315,0,Chinstrap,Female,0
193,5.913092,8.449968,0,Chinstrap,Male,0
194,7.281052,6.2949734,0,Chinstrap,Male,0
195,8.7414255,7.832046,0,Chinstrap,Female,0
196,10.175181,7.607718,0,Chinstrap,Female,0
197,6.1270866,8.007241,0,Chinstrap,Male,0
198,10.711481,7.0159054,0,Chinstrap,Female,0
199,5.8476057,7.7965016,0,Chinstrap,Male,0
200,10.825329,3.3521972,0,Chinstrap,Female,2
201,6.628613,7.1334248,0,Chinstrap,Male,0
202,11.191408,5.257649,0,Chinstrap,Female,0
203,6.027717,7.5627475,0,Chinstrap,Male,0
204,6.894187,7.9262505,0,Chinstrap,Male,0
205,8.191736,5.762492,0,Chinstrap,Female,0
206,5.7703495,8.104156,0,Chinstrap,Male,0
207,10.596212,7.3283486,0,Chinstrap,Female,0
208,10.540572,7.3788443,0,Chinstrap,Female,0
209,5.461786,8.40847,0,Chinstrap,Male,0
210,10.465172,6.6986723,0,Chinstrap,Female,0
211,7.871132,7.567954,0,Chinstrap,Male,0
212,5.9790087,8.367364,0,Chinstrap,Male,0
213,7.147373,7.7267327,0,Chinstrap,Female,0
214,-6.1403065,-3.2306738,1,Gentoo,Female,1
215,-11.741715,0.34376365,1,Gentoo,Male,1
216,-7.9346933,-3.2352722,1,Gentoo,Female,1
217,-10.732548,-0.33279908,1,Gentoo,Male,1
218,-9.091023,-0.8317839,1,Gentoo,Male,1
219,-6.3803496,-3.15946,1,Gentoo,Female,1
220,-7.545576,-3.5588756,1,Gentoo,Female,1
221,-9.0974455,-1.2098608,1,Gentoo,Male,1
222,-5.7531867,-4.734919,1,Gentoo,Female,1
223,-9.243426,-1.7514733,1,Gentoo,Male,1
224,-5.8955264,-4.649601,1,Gentoo,Female,1
225,-10.665285,-1.2725837,1,Gentoo,Male,1
226,-6.2934794,-2.996968,1,Gentoo,Female,1
227,-9.695094,-0.27025548,1,Gentoo,Male,1
228,-7.0085135,-4.2633243,1,Gentoo,Female,1
229,-11.040357,-0.6903017,1,Gentoo,Male,1
230,-5.7686405,-4.7546782,1,Gentoo,Female,1
231,-10.922619,0.18019009,1,Gentoo,Male,1
232,-7.781394,-3.5389497,1,Gentoo,Female,1
233,-10.04197,-0.3866544,1,Gentoo,Male,1
234,-10.246883,-0.12898828,1,Gentoo,Male,1
235,-7.660005,-2.3392034,1,Gentoo,Female,1
236,-7.6601176,-3.7116165,1,Gentoo,Female,1
237,-9.426971,-1.9725226,1,Gentoo,Male,1
238,-5.905326,-3.0591843,1,Gentoo,Female,1
239,-8.640085,-2.1073859,1,Gentoo,Male,1
240,-9.541864,-0.648558,1,Gentoo,Male,1
241,-8.06569,-3.0474508,1,Gentoo,Female,1
242,-10.939021,-0.49583137,1,Gentoo,Male,1
243,-9.547422,-0.7281044,1,Gentoo,Male,1
244,-6.2197423,-4.812406,1,Gentoo,Female,1
245,-7.4599566,-3.4228208,1,Gentoo,Female,1
246,-12.114377,0.6251524,1,Gentoo,Male,1
247,-9.688172,-0.5302478,1,Gentoo,Female,1
248,-10.516805,-1.3867729,1,Gentoo,Male,1
249,-6.0222797,-3.2922459,1,Gentoo,Female,1
250,-9.8780985,-1.7663636,1,Gentoo,Male,1
251,-5.918609,-4.899657,1,Gentoo,Female,1
252,-9.976808,-1.8176153,1,Gentoo,Male,1
253,-5.7868195,-4.8724575,1,Gentoo,Female,1
254,-11.617716,-0.19518988,1,Gentoo,Male,1
255,-6.0829577,-4.6013465,1,Gentoo,Female,1
256,-9.488638,-1.5818583,1,Gentoo,Male,1
257,-11.526622,-0.59059674,1,Gentoo,Male,1
258,-6.081349,-2.8263955,1,Gentoo,Female,1
259,-6.4926085,-4.8423862,1,Gentoo,Female,1
260,-11.491532,-0.48539585,1,Gentoo,Male,1
261,-5.969082,-2.8710017,1,Gentoo,Female,1
262,-9.296892,-2.070972,1,Gentoo,Male,1
263,-7.5493093,-2.9693196,1,Gentoo,Female,1
264,-9.439729,-0.42333147,1,Gentoo,Male,1
265,-6.7402,-4.500381,1,Gentoo,Female,1
266,-10.278669,-0.4332519,1,Gentoo,Male,1
267,-7.9865584,-1.9547921,1,Gentoo,Female,1
268,-8.647681,-2.0305953,1,Gentoo,Male,1
269,-6.0798097,-4.897337,1,Gentoo,Female,1
270,-8.326994,-1.8248135,1,Gentoo,Male,1
271,-6.4732685,-4.545373,1,Gentoo,Female,1
272,-10.96775,-0.056356143,1,Gentoo,Male,1
273,-6.4386115,-4.8668504,1,Gentoo,Female,1
274,-8.935086,-0.91414475,1,Gentoo,Male,1
275,-6.655944,-3.3655627,1,Gentoo,Female,1
276,-11.845997,0.7441948,1,Gentoo,Male,1
277,-7.597923,-2.1629987,1,Gentoo,Female,1
278,-12.043108,0.24224694,1,Gentoo,Male,1
279,-11.430537,0.3553936,1,Gentoo,Male,1
280,-6.2788486,-2.9542022,1,Gentoo,Female,1
281,-10.786256,0.005908387,1,Gentoo,Male,1
282,-9.093407,-2.0577042,1,Gentoo,Female,1
283,-9.294836,-1.5914439,1,Gentoo,Male,1
284,-9.937968,-1.1669148,1,Gentoo,Male,1
285,-8.605278,-1.522996,1,Gentoo,Female,1
286,-8.362947,-2.7666652,1,Gentoo,Female,1
287,-11.256325,0.16009866,1,Gentoo,Male,1
288,-7.7955093,-3.3746076,1,Gentoo,Female,1
289,-11.886247,0.3207934,1,Gentoo,Male,1
290,-6.4043646,-2.8918014,1,Gentoo,Female,1
291,-10.408728,-0.7553772,1,Gentoo,Male,1
292,-8.854009,-2.2167761,1,Gentoo,Female,1
293,-11.824118,-0.13334343,1,Gentoo,Male,1
294,-8.217959,-2.8366494,1,Gentoo,Female,1
295,-11.331,-0.7382105,1,Gentoo,Male,1
296,-6.3885946,-3.250367,1,Gentoo,Female,1
297,-12.261444,0.38272613,1,Gentoo,Male,1
298,-6.571962,-3.3113222,1,Gentoo,Female,1
299,-10.080814,-0.2148846,1,Gentoo,Male,1
300,-7.7659154,-2.1392207,1,Gentoo,Female,1
301,-12.32742,0.51834947,1,Gentoo,Male,1
302,-8.983223,-1.5068232,1,Gentoo,Female,1
303,-12.308034,0.35795537,1,Gentoo,Male,1
304,-7.321939,-3.330764,1,Gentoo,Female,1
305,-11.706958,-0.47271624,1,Gentoo,Male,1
306,-7.4457273,-3.2841072,1,Gentoo,Female,1
307,-11.297516,-0.65906566,1,Gentoo,Male,1
308,-10.118878,-1.6672766,1,Gentoo,Male,1
309,-8.58683,-1.3856403,1,Gentoo,Female,1
310,-7.6011496,-3.723832,1,Gentoo,Female,1
311,-12.184903,-0.113335505,1,Gentoo,Male,1
312,-9.3195915,-1.3571707,1,Gentoo,Female,1
313,-12.276381,0.68305486,1,Gentoo,Male,1
314,-9.445796,-1.9535027,1,Gentoo,Female,1
315,-10.47254,0.016729914,1,Gentoo,Male,1
316,-10.045801,-1.5771463,1,Gentoo,Male,1
317,-6.3659477,-4.7815323,1,Gentoo,Female,1
318,-12.164565,0.16478525,1,Gentoo,Male,1
319,-6.236213,-4.7389684,1,Gentoo,Female,1
320,-9.498555,-1.3827509,1,Gentoo,Male,1
321,-10.1230135,-1.3942112,1,Gentoo,Female,1
322,-11.480578,0.27689704,1,Gentoo,Male,1
323,-7.252606,-4.0587935,1,Gentoo,Female,1
324,-12.021644,0.3734224,1,Gentoo,Male,1
325,-7.195911,-3.180429,1,Gentoo,Female,1
326,-11.914089,0.6304352,1,Gentoo,Male,1
327,-11.64898,-0.28222302,1,Gentoo,Male,1
328,-7.682515,-2.1023057,1,Gentoo,Female,1
329,-7.961874,-2.137849,1,Gentoo,Female,1
330,-11.399461,-0.16687772,1,Gentoo,Male,1
331,-7.98702,-2.6038327,1,Gentoo,Female,1
332,-10.434985,-1.5076993,1,Gentoo,Male,1
